drg,title,relative_weight,gmlos,sso
1,Heart transplant or implant of heart assist system w MCC,0.0,0.0,0.0
2,Heart transplant or implant of heart assist system w/o MCC,0.0,0.0,0.0
3,"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R.",3.7112,58.4,48.7
4,"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R.",2.8203,44.6,37.2
5,Liver transplant w MCC or intestinal transplant,0.0,0.0,0.0
6,Liver transplant w/o MCC,0.0,0.0,0.0
7,Lung transplant,0.0,0.0,0.0
8,Simultaneous pancreas/kidney transplant,0.0,0.0,0.0
10,Pancreas transplant,0.0,0.0,0.0
11,"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w MCC",1.7328,37.2,31.0
12,"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w CC",0.609,19.1,15.9
13,"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w/o CC/MCC",0.609,19.1,15.9
14,Allogeneic bone marrow transplant,1.0772,26.3,21.9
16,Autologous bone marrow transplant  w CC/MCC or T-cell immunotherapy,1.0772,26.3,21.9
17,Autologous bone marrow transplant w/o CC/MCC,1.0772,26.3,21.9
20,Intracranial vascular procedures w PDX hemorrhage w MCC,0.8806,23.5,19.6
21,Intracranial vascular procedures w PDX hemorrhage w CC,0.609,19.1,15.9
22,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC,0.4545,15.4,12.8
23,Craniotomy w major device Implant or acute CNS PDX w MCC or chemotherapy implant or epilepsy w neurostimulator,1.7328,37.2,31.0
24,Cranio w major dev impl/acute complex CNS PDX w/o MCC,1.7328,37.2,31.0
25,Craniotomy & endovascular intracranial procedures w MCC,1.7328,37.2,31.0
26,Craniotomy & endovascular intracranial procedures w CC,1.0772,26.3,21.9
27,Craniotomy & endovascular intracranial procedures w/o CC/MCC,0.4545,15.4,12.8
28,Spinal procedures w MCC,1.7328,37.2,31.0
29,Spinal procedures w CC or spinal neurostimulators,1.0772,26.3,21.9
30,Spinal procedures w/o CC/MCC,0.8061,22.3,18.6
31,Ventricular shunt procedures w MCC,1.7328,37.2,31.0
32,Ventricular shunt procedures w CC,1.7328,37.2,31.0
33,Ventricular shunt procedures w/o CC/MCC,0.8061,22.3,18.6
34,Carotid artery stent procedure w MCC,1.5918,37.9,31.6
35,Carotid artery stent procedure w CC,1.5918,37.9,31.6
36,Carotid artery stent procedure w/o CC/MCC,1.5918,37.9,31.6
37,Extracranial procedures w MCC,1.0772,26.3,21.9
38,Extracranial procedures w CC,1.0772,26.3,21.9
39,Extracranial procedures w/o CC/MCC,1.0772,26.3,21.9
40,Periph/cranial nerve & other nerv syst proc w MCC,1.3817,34.5,28.8
41,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim,0.8061,22.3,18.6
42,Periph/cranial nerve & other nerv syst proc w/o CC/MCC,0.609,19.1,15.9
52,Spinal disorders & injuries w CC/MCC,1.0022,30.1,25.1
53,Spinal disorders & injuries w/o CC/MCC,0.609,19.1,15.9
54,Nervous system neoplasms w MCC,0.8061,22.3,18.6
55,Nervous system neoplasms w/o MCC,0.609,19.1,15.9
56,Degenerative nervous system disorders w MCC,0.8841,24.9,20.8
57,Degenerative nervous system disorders w/o MCC,0.6552,22.0,18.3
58,Multiple sclerosis & cerebellar ataxia w MCC,0.8061,22.3,18.6
59,Multiple sclerosis & cerebellar ataxia w CC,0.8061,22.3,18.6
60,Multiple sclerosis & cerebellar ataxia w/o CC/MCC,0.609,19.1,15.9
61,"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w MCC",0.8826,22.3,18.6
62,"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w CC",0.7295,20.9,17.4
63,"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w/o CC/MCC",0.4545,15.4,12.8
64,Intracranial hemorrhage or cerebral infarction w MCC,0.8806,23.5,19.6
65,Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs,0.609,19.1,15.9
66,Intracranial hemorrhage or cerebral infarction w/o CC/MCC,0.609,19.1,15.9
67,Nonspecific cva & precerebral occlusion w/o infarct w MCC,1.7328,37.2,31.0
68,Nonspecific cva & precerebral occlusion w/o infarct w/o MCC,0.4545,15.4,12.8
69,Transient ischemia w/o thrombolytic,0.4545,15.4,12.8
70,Nonspecific cerebrovascular disorders w MCC,0.8826,22.3,18.6
71,Nonspecific cerebrovascular disorders w CC,0.7295,20.9,17.4
72,Nonspecific cerebrovascular disorders w/o CC/MCC,0.4545,15.4,12.8
73,Cranial & peripheral nerve disorders w MCC,1.0227,25.2,21.0
74,Cranial & peripheral nerve disorders w/o MCC,0.8061,22.3,18.6
75,Viral meningitis w CC/MCC,0.609,19.1,15.9
76,Viral meningitis w/o CC/MCC,0.609,19.1,15.9
77,Hypertensive encephalopathy w MCC,0.609,19.1,15.9
78,Hypertensive encephalopathy w CC,0.609,19.1,15.9
79,Hypertensive encephalopathy w/o CC/MCC,0.609,19.1,15.9
80,Nontraumatic stupor & coma w MCC,0.8061,22.3,18.6
81,Nontraumatic stupor & coma w/o MCC,0.4545,15.4,12.8
82,"Traumatic stupor & coma, coma >1 hr w MCC",0.8928,27.1,22.6
83,"Traumatic stupor & coma, coma >1 hr w CC",0.7102,21.7,18.1
84,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC",0.4545,15.4,12.8
85,"Traumatic stupor & coma, coma <1 hr w MCC",1.017,28.3,23.6
86,"Traumatic stupor & coma, coma <1 hr w CC",0.609,19.1,15.9
87,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC",0.4545,15.4,12.8
88,Concussion w MCC,0.609,19.1,15.9
89,Concussion w CC,0.609,19.1,15.9
90,Concussion w/o CC/MCC,0.4545,15.4,12.8
91,Other disorders of nervous system w MCC,0.859,24.3,20.3
92,Other disorders of nervous system w CC,0.7555,22.5,18.8
93,Other disorders of nervous system w/o CC/MCC,0.4545,15.4,12.8
94,Bacterial & tuberculous infections of nervous system w MCC,1.0349,26.2,21.8
95,Bacterial & tuberculous infections of nervous system w CC,0.8397,22.9,19.1
96,Bacterial & tuberculous infections of nervous system w/o CC/MCC,0.609,19.1,15.9
97,Non-bacterial infect of nervous sys exc viral meningitis w MCC,0.9301,20.9,17.4
98,Non-bacterial infect of nervous sys exc viral meningitis w CC,0.9301,20.9,17.4
99,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC,0.4545,15.4,12.8
100,Seizures w MCC,0.7545,21.5,17.9
101,Seizures w/o MCC,0.7545,21.5,17.9
102,Headaches w MCC,0.8061,22.3,18.6
103,Headaches w/o MCC,0.4545,15.4,12.8
113,Orbital procedures w CC/MCC,0.609,19.1,15.9
114,Orbital procedures w/o CC/MCC,0.609,19.1,15.9
115,Extraocular procedures except orbit,1.0772,26.3,21.9
116,Intraocular procedures w CC/MCC,1.0772,26.3,21.9
