drg,title,relative_weight,gmlos,sso
1,Heart transplant or implant of heart assist system with MCC,0.0,0.0,0.0
2,Heart transplant or implant of heart assist system without MCC,0.0,0.0,0.0
3,"ECMO or tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck with major O.R. procedures",3.705,57.5,47.9
4,"Tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck without major O.R. procedures",2.926,45.5,37.9
5,Liver transplant with MCC or intestinal transplant,0.0,0.0,0.0
6,Liver transplant without MCC,0.0,0.0,0.0
7,Lung transplant,0.0,0.0,0.0
8,Simultaneous pancreas and kidney transplant,0.0,0.0,0.0
10,Pancreas transplant,0.0,0.0,0.0
11,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with MCC",1.3482,31.9,26.6
12,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with CC",0.7813,21.1,17.6
13,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy without CC/MCC",0.6366,19.3,16.1
14,Allogeneic bone marrow transplant,0.6366,19.3,16.1
16,Autologous bone marrow transplant with CC/MCC,0.6366,19.3,16.1
17,Autologous bone marrow transplant without CC/MCC,0.6366,19.3,16.1
18,Chimeric antigen receptor (CAR) T-cell and other immunotherapies,0.6366,19.3,16.1
19,Simultaneous pancreas and kidney transplant with hemodialysis,0.0,0.0,0.0
20,Intracranial vascular procedures with principal diagnosis hemorrhage with MCC,0.8307,22.9,19.1
21,Intracranial vascular procedures with principal diagnosis hemorrhage with CC,0.4651,15.7,13.1
22,Intracranial vascular procedures with principal diagnosis hemorrhage without CC/MCC,0.4651,15.7,13.1
23,Craniotomy with major device implant or acute complex CNS principal diagnosis with MCC or chemotherapy implant or epilepsy with neurostimulator,1.3482,31.9,26.6
24,Craniotomy with major device implant or acute complex CNS principal diagnosis without MCC,0.4651,15.7,13.1
25,Craniotomy and endovascular intracranial procedures with MCC,0.6366,19.3,16.1
26,Craniotomy and endovascular intracranial procedures with CC,0.4651,15.7,13.1
27,Craniotomy and endovascular intracranial procedures without CC/MCC,0.4651,15.7,13.1
28,Spinal procedures with MCC,0.6366,19.3,16.1
29,Spinal procedures with CC or spinal neurostimulators,0.6366,19.3,16.1
30,Spinal procedures without CC/MCC,0.6366,19.3,16.1
31,Ventricular shunt procedures with MCC,0.6366,19.3,16.1
32,Ventricular shunt procedures with CC,0.6366,19.3,16.1
33,Ventricular shunt procedures without CC/MCC,0.4651,15.7,13.1
34,Carotid artery stent procedures with MCC,0.7985,20.4,17.0
35,Carotid artery stent procedures with CC,0.6366,19.3,16.1
36,Carotid artery stent procedures without CC/MCC,0.6366,19.3,16.1
37,Extracranial procedures with MCC,1.3482,31.9,26.6
38,Extracranial procedures with CC,1.3482,31.9,26.6
39,Extracranial procedures without CC/MCC,1.3482,31.9,26.6
40,"Peripheral, cranial nerve and other nervous system procedures with MCC",1.3858,34.7,28.9
41,"Peripheral, cranial nerve and other nervous system procedures with CC or peripheral neurostimulator",0.7813,21.1,17.6
42,"Peripheral, cranial nerve and other nervous system procedures without CC/MCC",0.7813,21.1,17.6
52,Spinal disorders and injuries with CC/MCC,1.2064,34.0,28.3
53,Spinal disorders and injuries without CC/MCC,0.4651,15.7,13.1
54,Nervous system neoplasms with MCC,1.2026,29.6,24.7
55,Nervous system neoplasms without MCC,0.6458,22.8,19.0
56,Degenerative nervous system disorders with MCC,0.8659,24.9,20.8
57,Degenerative nervous system disorders without MCC,0.6458,22.8,19.0
58,Multiple sclerosis and cerebellar ataxia with MCC,0.4651,15.7,13.1
59,Multiple sclerosis and cerebellar ataxia with CC,0.4651,15.7,13.1
60,Multiple sclerosis and cerebellar ataxia without CC/MCC,0.4651,15.7,13.1
61,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with MCC",0.8329,23.5,19.6
62,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with CC",0.6564,22.1,18.4
63,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent without CC/MCC",0.4651,15.7,13.1
64,Intracranial hemorrhage or cerebral infarction with MCC,0.8307,22.9,19.1
65,Intracranial hemorrhage or cerebral infarction with CC or tPA in 24 hours,0.4651,15.7,13.1
66,Intracranial hemorrhage or cerebral infarction without CC/MCC,0.4651,15.7,13.1
67,Nonspecific CVA and precerebral occlusion without infarction with MCC,0.4651,15.7,13.1
68,Nonspecific CVA and precerebral occlusion without infarction without MCC,0.4651,15.7,13.1
69,Transient ischemia without thrombolytic,0.4651,15.7,13.1
70,Nonspecific cerebrovascular disorders with MCC,0.8329,23.5,19.6
71,Nonspecific cerebrovascular disorders with CC,0.6564,22.1,18.4
72,Nonspecific cerebrovascular disorders without CC/MCC,0.4651,15.7,13.1
73,Cranial and peripheral nerve disorders with MCC,0.7813,21.1,17.6
74,Cranial and peripheral nerve disorders without MCC,0.6366,19.3,16.1
75,Viral meningitis with CC/MCC,0.6366,19.3,16.1
76,Viral meningitis without CC/MCC,0.6366,19.3,16.1
77,Hypertensive encephalopathy with MCC,0.6366,19.3,16.1
78,Hypertensive encephalopathy with CC,0.4651,15.7,13.1
79,Hypertensive encephalopathy without CC/MCC,0.4651,15.7,13.1
80,Nontraumatic stupor and coma with MCC,1.0424,26.9,22.4
81,Nontraumatic stupor and coma without MCC,1.0424,26.9,22.4
82,Traumatic stupor and coma >1 hour with MCC,0.9365,26.3,21.9
83,Traumatic stupor and coma >1 hour with CC,0.6366,19.3,16.1
84,Traumatic stupor and coma >1 hour without CC/MCC,0.4651,15.7,13.1
85,Traumatic stupor and coma <1 hour with MCC,1.0424,26.9,22.4
86,Traumatic stupor and coma <1 hour with CC,0.6366,19.3,16.1
87,Traumatic stupor and coma <1 hour without CC/MCC,0.6366,19.3,16.1
88,Concussion with MCC,1.0424,26.9,22.4
89,Concussion with CC,0.6366,19.3,16.1
90,Concussion without CC/MCC,0.6366,19.3,16.1
91,Other disorders of nervous system with MCC,0.9279,24.6,20.5
92,Other disorders of nervous system with CC,0.7824,20.1,16.8
93,Other disorders of nervous system without CC/MCC,0.6206,20.1,16.8
94,Bacterial and tuberculous infections of nervous system with MCC,1.0948,27.4,22.8
95,Bacterial and tuberculous infections of nervous system with CC,0.7339,22.6,18.8
96,Bacterial and tuberculous infections of nervous system without CC/MCC,0.7339,22.6,18.8
97,Non-bacterial infection of nervous system except viral meningitis with MCC,0.9115,25.1,20.9
98,Non-bacterial infection of nervous system except viral meningitis with CC,0.6366,19.3,16.1
99,Non-bacterial infection of nervous system except viral meningitis without CC/MCC,0.6366,19.3,16.1
100,Seizures with MCC,0.7813,21.1,17.6
101,Seizures without MCC,0.6366,19.3,16.1
102,Headaches with MCC,1.0424,26.9,22.4
103,Headaches without MCC,0.6366,19.3,16.1
113,Orbital procedures with CC/MCC,0.7813,21.1,17.6
114,Orbital procedures without CC/MCC,0.7813,21.1,17.6
115,Extraocular procedures except orbit,0.7813,21.1,17.6
116,Intraocular procedures with CC/MCC,0.7813,21.1,17.6
117,Intraocular procedures without CC/MCC,0.7813,21.1,17.6
121,Acute major eye infections with CC/MCC,0.6366,19.3,16.1
122,Acute major eye infections without CC/MCC,0.6366,19.3,16.1
123,Neurological eye disorders,0.6366,19.3,16.1
124,Other disorders of the eye with MCC,0.7813,21.1,17.6
125,Other disorders of the eye without MCC,0.6366,19.3,16.1
135,Sinus and mastoid procedures with CC/MCC,0.7813,21.1,17.6
136,Sinus and mastoid procedures without CC/MCC,0.7813,21.1,17.6
137,Mouth procedures with CC/MCC,0.7813,21.1,17.6
138,Mouth procedures without CC/MCC,0.7813,21.1,17.6
139,Salivary gland procedures,0.7813,21.1,17.6
140,Major head and neck procedures with MCC,0.7813,21.1,17.6
141,Major head and neck procedures with CC,0.7813,21.1,17.6
142,Major head and neck procedures without CC/MCC,0.7813,21.1,17.6
143,"Other ear, nose, mouth and throat O.R. procedures with MCC",0.7813,21.1,17.6
144,"Other ear, nose, mouth and throat O.R. procedures with CC",0.7813,21.1,17.6
145,"Other ear, nose, mouth and throat O.R. procedures without CC/MCC",0.7813,21.1,17.6
146,"Ear, nose, mouth and throat malignancy with MCC",1.3482,31.9,26.6
147,"Ear, nose, mouth and throat malignancy with CC",1.0424,26.9,22.4
148,"Ear, nose, mouth and throat malignancy without CC/MCC",0.6366,19.3,16.1
149,Dysequilibrium,0.6366,19.3,16.1
150,Epistaxis with MCC,1.0424,26.9,22.4
151,Epistaxis without MCC,0.6366,19.3,16.1
152,Otitis media and URI with MCC,0.9068,24.0,20.0
153,Otitis media and URI without MCC,0.6366,19.3,16.1
154,"Other ear, nose, mouth and throat diagnoses with MCC",1.0424,26.9,22.4
155,"Other ear, nose, mouth and throat diagnoses with CC",0.7813,21.1,17.6
156,"Other ear, nose, mouth and throat diagnoses without CC/MCC",0.6366,19.3,16.1
157,Dental and oral diseases with MCC,1.0424,26.9,22.4
158,Dental and oral diseases with CC,0.7813,21.1,17.6
159,Dental and oral diseases without CC/MCC,0.6366,19.3,16.1
163,Major chest procedures with MCC,2.9476,42.3,35.3
164,Major chest procedures with CC,1.0424,26.9,22.4
165,Major chest procedures without CC/MCC,1.0424,26.9,22.4
166,Other respiratory system O.R. procedures with MCC,2.4576,39.8,33.2
167,Other respiratory system O.R. procedures with CC,1.6263,30.6,25.5
168,Other respiratory system O.R. procedures without CC/MCC,1.3482,31.9,26.6
175,Pulmonary embolism with MCC or acute cor pulmonale,1.0424,26.9,22.4
176,Pulmonary embolism without MCC,1.0424,26.9,22.4
177,Respiratory infections and inflammations with MCC,0.7934,21.0,17.5
178,Respiratory infections and inflammations with CC,0.6326,19.0,15.8
179,Respiratory infections and inflammations without CC/MCC,0.6218,18.7,15.6
180,Respiratory neoplasms with MCC,0.7813,21.1,17.6
181,Respiratory neoplasms with CC,0.4651,15.7,13.1
182,Respiratory neoplasms without CC/MCC,0.4651,15.7,13.1
183,Major chest trauma with MCC,0.7813,21.1,17.6
184,Major chest trauma with CC,0.4651,15.7,13.1
