drg,title,relative_weight,gmlos,sso
1,Heart transplant or implant of heart assist system w MCC,0.0,0.0,0.0
2,Heart transplant or implant of heart assist system w/o MCC,0.0,0.0,0.0
3,"ECMO or trach w MV 96 hrs or PDX exc face, mouth & neck w maj O.R.",3.852,58.9,49.1
4,"Trach w MV 96 hrs or PDX exc face, mouth & neck w/o maj O.R.",2.7765,42.4,35.3
5,Liver transplant w MCC or intestinal transplant,0.0,0.0,0.0
6,Liver transplant w/o MCC,0.0,0.0,0.0
7,Lung transplant,0.0,0.0,0.0
8,Simultaneous pancreas/kidney transplant,0.0,0.0,0.0
10,Pancreas transplant,0.0,0.0,0.0
11,"Tracheostomy for face,mouth & neck diagnoses w MCC",1.0252,24.0,20.0
12,"Tracheostomy for face,mouth & neck diagnoses w CC",0.6711,19.8,16.5
13,"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC",0.6711,19.8,16.5
14,Allogeneic bone marrow transplant,0.6711,19.8,16.5
16,Autologous bone marrow transplant w CC/MCC,0.6711,19.8,16.5
17,Autologous bone marrow transplant w/o CC/MCC,0.6711,19.8,16.5
20,Intracranial vascular procedures w PDX hemorrhage w MCC,0.8429,23.5,19.6
21,Intracranial vascular procedures w PDX hemorrhage w CC,0.6711,19.8,16.5
22,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC,0.5268,17.5,14.6
23,Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant,1.1274,26.4,22.0
24,Cranio w major dev impl/acute complex CNS PDX w/o MCC,1.1274,26.4,22.0
25,Craniotomy & endovascular intracranial procedures w MCC,1.6769,34.8,29.0
26,Craniotomy & endovascular intracranial procedures w CC,1.6769,34.8,29.0
27,Craniotomy & endovascular intracranial procedures w/o CC/MCC,1.6769,34.8,29.0
28,Spinal procedures w MCC,1.6769,34.8,29.0
29,Spinal procedures w CC or spinal neurostimulators,0.8393,22.5,18.8
30,Spinal procedures w/o CC/MCC,0.6711,19.8,16.5
31,Ventricular shunt procedures w MCC,1.6769,34.8,29.0
32,Ventricular shunt procedures w CC,0.6711,19.8,16.5
33,Ventricular shunt procedures w/o CC/MCC,0.6711,19.8,16.5
34,Carotid artery stent procedure w MCC,1.9707,41.4,34.5
35,Carotid artery stent procedure w CC,1.9707,41.4,34.5
36,Carotid artery stent procedure w/o CC/MCC,1.9707,41.4,34.5
37,Extracranial procedures w MCC,1.1274,26.4,22.0
38,Extracranial procedures w CC,1.1274,26.4,22.0
39,Extracranial procedures w/o CC/MCC,0.6711,19.8,16.5
40,Periph/cranial nerve & other nerv syst proc w MCC,1.6098,33.9,28.3
41,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim,0.8393,22.5,18.8
42,Periph/cranial nerve & other nerv syst proc w/o CC/MCC,0.6711,19.8,16.5
52,Spinal disorders & injuries w CC/MCC,1.1578,41.9,34.9
53,Spinal disorders & injuries w/o CC/MCC,0.6711,19.8,16.5
54,Nervous system neoplasms w MCC,0.6711,19.8,16.5
55,Nervous system neoplasms w/o MCC,0.6711,19.8,16.5
56,Degenerative nervous system disorders w MCC,0.8688,25.2,21.0
57,Degenerative nervous system disorders w/o MCC,0.6784,23.3,19.4
58,Multiple sclerosis & cerebellar ataxia w MCC,1.1274,26.4,22.0
59,Multiple sclerosis & cerebellar ataxia w CC,0.8688,25.2,21.0
60,Multiple sclerosis & cerebellar ataxia w/o CC/MCC,0.6784,23.3,19.4
61,Acute ischemic stroke w use of thrombolytic agent w MCC,0.907,24.6,20.5
62,Acute ischemic stroke w use of thrombolytic agent w CC,0.6711,19.8,16.5
63,Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC,0.6711,19.8,16.5
64,Intracranial hemorrhage or cerebral infarction w MCC,0.8429,23.5,19.6
65,Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs,0.6711,19.8,16.5
66,Intracranial hemorrhage or cerebral infarction w/o CC/MCC,0.5268,17.5,14.6
67,Nonspecific cva & precerebral occlusion w/o infarct w MCC,0.5268,17.5,14.6
68,Nonspecific cva & precerebral occlusion w/o infarct w/o MCC,0.5268,17.5,14.6
69,Transient ischemia,0.5268,17.5,14.6
70,Nonspecific cerebrovascular disorders w MCC,0.907,24.6,20.5
71,Nonspecific cerebrovascular disorders w CC,0.6711,19.8,16.5
72,Nonspecific cerebrovascular disorders w/o CC/MCC,0.6711,19.8,16.5
73,Cranial & peripheral nerve disorders w MCC,0.942,23.2,19.3
74,Cranial & peripheral nerve disorders w/o MCC,0.6711,19.8,16.5
75,Viral meningitis w CC/MCC,0.5268,17.5,14.6
76,Viral meningitis w/o CC/MCC,0.5268,17.5,14.6
77,Hypertensive encephalopathy w MCC,1.1274,26.4,22.0
78,Hypertensive encephalopathy w CC,0.7991,24.5,20.4
79,Hypertensive encephalopathy w/o CC/MCC,0.6711,19.8,16.5
80,Nontraumatic stupor & coma w MCC,1.0074,25.5,21.3
81,Nontraumatic stupor & coma w/o MCC,0.6711,19.8,16.5
82,"Traumatic stupor & coma, coma >1 hr w MCC",0.8393,22.5,18.8
83,"Traumatic stupor & coma, coma >1 hr w CC",0.6711,19.8,16.5
84,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC",0.5268,17.5,14.6
85,"Traumatic stupor & coma, coma <1 hr w MCC",0.8515,24.7,20.6
86,"Traumatic stupor & coma, coma <1 hr w CC",0.5268,17.5,14.6
87,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC",0.5268,17.5,14.6
88,Concussion w MCC,0.8515,24.7,20.6
89,Concussion w CC,0.5268,17.5,14.6
90,Concussion w/o CC/MCC,0.5268,17.5,14.6
91,Other disorders of nervous system w MCC,1.0074,25.5,21.3
92,Other disorders of nervous system w CC,0.7991,24.5,20.4
93,Other disorders of nervous system w/o CC/MCC,0.6711,19.8,16.5
94,Bacterial & tuberculous infections of nervous system w MCC,1.0277,28.4,23.7
95,Bacterial & tuberculous infections of nervous system w CC,0.9771,28.2,23.5
96,Bacterial & tuberculous infections of nervous system w/o CC/MCC,0.5268,17.5,14.6
97,Non-bacterial infect of nervous sys exc viral meningitis w MCC,0.9479,22.6,18.8
98,Non-bacterial infect of nervous sys exc viral meningitis w CC,0.6711,19.8,16.5
99,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC,0.5268,17.5,14.6
100,Seizures w MCC,0.6711,19.8,16.5
101,Seizures w/o MCC,0.5268,17.5,14.6
102,Headaches w MCC,1.6769,34.8,29.0
103,Headaches w/o MCC,1.6769,34.8,29.0
113,Orbital procedures w CC/MCC,0.6711,19.8,16.5
114,Orbital procedures w/o CC/MCC,0.6711,19.8,16.5
115,Extraocular procedures except orbit,0.6711,19.8,16.5
116,Intraocular procedures w CC/MCC,0.6711,19.8,16.5
117,Intraocular procedures w/o CC/MCC,0.6711,19.8,16.5
121,Acute major eye infections w CC/MCC,0.6711,19.8,16.5
122,Acute major eye infections w/o CC/MCC,0.6711,19.8,16.5
