drg,title,relative_weight,gmlos,sso
1,Heart transplant or implant of heart assist system w MCC,0.0,0.0,0.0
2,Heart transplant or implant of heart assist system w/o MCC,0.0,0.0,0.0
3,"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R.",4.0088,59.5,49.6
4,"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R.",2.9063,44.3,36.9
5,Liver transplant w MCC or intestinal transplant,0.0,0.0,0.0
6,Liver transplant w/o MCC,0.0,0.0,0.0
7,Lung transplant,0.0,0.0,0.0
8,Simultaneous pancreas/kidney transplant,0.0,0.0,0.0
10,Pancreas transplant,0.0,0.0,0.0
11,"Tracheostomy for face,mouth & neck diagnoses w MCC",1.8964,40.0,33.3
12,"Tracheostomy for face,mouth & neck diagnoses w CC",0.6798,20.5,17.1
13,"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC",0.5008,16.2,13.5
14,Allogeneic bone marrow transplant,0.8613,23.1,19.3
16,Autologous bone marrow transplant w CC/MCC,0.8613,23.1,19.3
17,Autologous bone marrow transplant w/o CC/MCC,0.8613,23.1,19.3
20,Intracranial vascular procedures w PDX hemorrhage w MCC,0.7416,22.3,18.6
21,Intracranial vascular procedures w PDX hemorrhage w CC,0.4635,19.2,16.0
22,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC,0.4635,19.2,16.0
23,Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant,1.8964,40.0,33.3
24,Cranio w major dev impl/acute complex CNS PDX w/o MCC,1.8964,40.0,33.3
25,Craniotomy & endovascular intracranial procedures w MCC,1.8964,40.0,33.3
26,Craniotomy & endovascular intracranial procedures w CC,1.8964,40.0,33.3
27,Craniotomy & endovascular intracranial procedures w/o CC/MCC,1.8964,40.0,33.3
28,Spinal procedures w MCC,1.1287,28.5,23.8
29,Spinal procedures w CC or spinal neurostimulators,1.1287,28.5,23.8
30,Spinal procedures w/o CC/MCC,0.8613,23.1,19.3
31,Ventricular shunt procedures w MCC,1.8964,40.0,33.3
32,Ventricular shunt procedures w CC,0.8613,23.1,19.3
33,Ventricular shunt procedures w/o CC/MCC,0.8613,23.1,19.3
34,Carotid artery stent procedure w MCC,2.0707,38.4,32.0
35,Carotid artery stent procedure w CC,2.0707,38.4,32.0
36,Carotid artery stent procedure w/o CC/MCC,2.0707,38.4,32.0
37,Extracranial procedures w MCC,1.8964,40.0,33.3
38,Extracranial procedures w CC,1.8964,40.0,33.3
39,Extracranial procedures w/o CC/MCC,0.6798,20.5,17.1
40,Periph/cranial nerve & other nerv syst proc w MCC,1.4098,34.2,28.5
41,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim,1.1287,28.5,23.8
42,Periph/cranial nerve & other nerv syst proc w/o CC/MCC,1.1287,28.5,23.8
52,Spinal disorders & injuries w CC/MCC,0.9953,40.5,33.8
53,Spinal disorders & injuries w/o CC/MCC,0.5008,16.2,13.5
54,Nervous system neoplasms w MCC,0.6798,20.5,17.1
55,Nervous system neoplasms w/o MCC,0.5008,16.2,13.5
56,Degenerative nervous system disorders w MCC,0.8514,25.3,21.1
57,Degenerative nervous system disorders w/o MCC,0.6553,22.6,18.8
58,Multiple sclerosis & cerebellar ataxia w MCC,1.1287,28.5,23.8
59,Multiple sclerosis & cerebellar ataxia w CC,0.8514,25.3,21.1
60,Multiple sclerosis & cerebellar ataxia w/o CC/MCC,0.6553,22.6,18.8
61,Acute ischemic stroke w use of thrombolytic agent w MCC,0.9104,23.5,19.6
62,Acute ischemic stroke w use of thrombolytic agent w CC,0.7052,21.3,17.8
63,Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC,0.6798,20.5,17.1
64,Intracranial hemorrhage or cerebral infarction w MCC,0.7416,22.3,18.6
65,Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs,0.4635,19.2,16.0
66,Intracranial hemorrhage or cerebral infarction w/o CC/MCC,0.4635,19.2,16.0
67,Nonspecific cva & precerebral occlusion w/o infarct w MCC,1.1287,28.5,23.8
68,Nonspecific cva & precerebral occlusion w/o infarct w/o MCC,0.6798,20.5,17.1
69,Transient ischemia,0.5008,16.2,13.5
70,Nonspecific cerebrovascular disorders w MCC,0.9104,23.5,19.6
71,Nonspecific cerebrovascular disorders w CC,0.7052,21.3,17.8
72,Nonspecific cerebrovascular disorders w/o CC/MCC,0.6798,20.5,17.1
73,Cranial & peripheral nerve disorders w MCC,1.0952,26.1,21.8
74,Cranial & peripheral nerve disorders w/o MCC,0.8613,23.1,19.3
75,Viral meningitis w CC/MCC,0.5008,16.2,13.5
76,Viral meningitis w/o CC/MCC,0.5008,16.2,13.5
77,Hypertensive encephalopathy w MCC,1.1287,28.5,23.8
78,Hypertensive encephalopathy w CC,0.5008,16.2,13.5
79,Hypertensive encephalopathy w/o CC/MCC,0.5008,16.2,13.5
80,Nontraumatic stupor & coma w MCC,0.6798,20.5,17.1
81,Nontraumatic stupor & coma w/o MCC,0.5008,16.2,13.5
82,"Traumatic stupor & coma, coma >1 hr w MCC",1.1287,28.5,23.8
83,"Traumatic stupor & coma, coma >1 hr w CC",0.8613,23.1,19.3
84,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC",0.6798,20.5,17.1
85,"Traumatic stupor & coma, coma <1 hr w MCC",0.9702,28.8,24.0
86,"Traumatic stupor & coma, coma <1 hr w CC",0.6899,20.4,17.0
87,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC",0.5008,16.2,13.5
88,Concussion w MCC,0.9702,28.8,24.0
89,Concussion w CC,0.6899,20.4,17.0
90,Concussion w/o CC/MCC,0.5008,16.2,13.5
91,Other disorders of nervous system w MCC,0.894,23.3,19.4
92,Other disorders of nervous system w CC,0.7557,23.8,19.8
93,Other disorders of nervous system w/o CC/MCC,0.5008,16.2,13.5
94,Bacterial & tuberculous infections of nervous system w MCC,1.0463,27.5,22.9
95,Bacterial & tuberculous infections of nervous system w CC,0.8505,26.1,21.8
96,Bacterial & tuberculous infections of nervous system w/o CC/MCC,0.5008,16.2,13.5
97,Non-bacterial infect of nervous sys exc viral meningitis w MCC,0.9546,20.9,17.4
98,Non-bacterial infect of nervous sys exc viral meningitis w CC,0.6798,20.5,17.1
99,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC,0.6798,20.5,17.1
100,Seizures w MCC,0.8618,25.1,20.9
101,Seizures w/o MCC,0.5008,16.2,13.5
102,Headaches w MCC,1.8964,40.0,33.3
103,Headaches w/o MCC,0.5008,16.2,13.5
113,Orbital procedures w CC/MCC,0.6798,20.5,17.1
114,Orbital procedures w/o CC/MCC,0.5008,16.2,13.5
115,Extraocular procedures except orbit,0.5008,16.2,13.5
116,Intraocular procedures w CC/MCC,0.6798,20.5,17.1
117,Intraocular procedures w/o CC/MCC,0.5008,16.2,13.5
121,Acute major eye infections w CC/MCC,1.8964,40.0,33.3
122,Acute major eye infections w/o CC/MCC,0.5008,16.2,13.5
