drg,title,relative_weight,gmlos,sso
1,Heart transplant or implant of heart assist system with MCC,0.0,0.0,0.0
2,"Heart transplant or implant of heart assist system without
MCC",0.0,0.0,0.0
3,"ECMO or tracheostomy with MV >96 hours or principal
diagnosis except face, mouth and neck with major O.R.
procedures",3.6215,54.8,45.7
4,"Tracheostomy with MV >96 hours or principal diagnosis
except face, mouth and neck without major O.R. procedures",2.7772,43.3,36.1
5,Liver transplant with MCC or intestinal transplant,0.0,0.0,0.0
6,Liver transplant without MCC,0.0,0.0,0.0
7,Lung transplant,0.0,0.0,0.0
8,Simultaneous pancreas and kidney transplant,0.0,0.0,0.0
10,Pancreas transplant,0.0,0.0,0.0
11,"Tracheostomy for face, mouth and neck diagnoses or
laryngectomy with MCC",0.6431,19.4,16.2
12,"Tracheostomy for face, mouth and neck diagnoses or
laryngectomy with CC",0.6431,19.4,16.2
13,"Tracheostomy for face, mouth and neck diagnoses or
laryngectomy without CC/MCC",0.6431,19.4,16.2
14,Allogeneic bone marrow transplant,0.5191,16.9,14.1
16,Autologous bone marrow transplant with CC/MCC,0.5191,16.9,14.1
17,Autologous bone marrow transplant without CC/MCC,0.5191,16.9,14.1
18,Chimeric antigen receptor (CAR) T-cell immunotherapy,0.5191,16.9,14.1
19,Simultaneous pancreas and kidney transplant with hemodialysis,0.0,0.0,0.0
20,"Intracranial vascular procedures with principal diagnosis
hemorrhage with MCC",0.9251,24.9,20.8
21,"Intracranial vascular procedures with principal diagnosis
hemorrhage with CC",0.9251,24.9,20.8
22,"Intracranial vascular procedures with principal diagnosis
hemorrhage without CC/MCC",0.9251,24.9,20.8
23,"Craniotomy with major device implant or acute complex CNS
principal diagnosis with MCC or chemotherapy implant or
epilepsy with neurostimulator",0.6431,19.4,16.2
24,"Craniotomy with major device implant or acute complex CNS
principal diagnosis without MCC",0.6431,19.4,16.2
25,"Craniotomy and endovascular intracranial procedures with
MCC",1.7606,36.6,30.5
26,"Craniotomy and endovascular intracranial procedures with
CC",0.6431,19.4,16.2
27,"Craniotomy and endovascular intracranial procedures without
CC/MCC",0.6431,19.4,16.2
28,Spinal procedures with MCC,1.7606,36.6,30.5
29,Spinal procedures with CC or spinal neurostimulators,0.9235,24.8,20.7
30,Spinal procedures without CC/MCC,0.9235,24.8,20.7
31,Ventricular shunt procedures with MCC,0.8438,23.5,19.6
32,Ventricular shunt procedures with CC,0.8438,23.5,19.6
33,Ventricular shunt procedures without CC/MCC,0.8438,23.5,19.6
34,Carotid artery stent procedures with MCC,1.8864,39.8,33.2
35,Carotid artery stent procedures with CC,1.8864,39.8,33.2
36,Carotid artery stent procedures without CC/MCC,1.8864,39.8,33.2
37,Extracranial procedures with MCC,1.7606,36.6,30.5
38,Extracranial procedures with CC,1.7606,36.6,30.5
39,Extracranial procedures without CC/MCC,1.7606,36.6,30.5
40,"Peripheral, cranial nerve and other nervous system
procedures with MCC",1.388,34.8,29.0
41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",0.6431,19.4,16.2
42,"Peripheral, cranial nerve and other nervous system
procedures without CC/MCC",0.6431,19.4,16.2
52,Spinal disorders and injuries with CC/MCC,0.9832,33.0,27.5
53,Spinal disorders and injuries without CC/MCC,0.9832,33.0,27.5
54,Nervous system neoplasms with MCC,1.0691,26.0,21.7
55,Nervous system neoplasms without MCC,0.6431,19.4,16.2
56,Degenerative nervous system disorders with MCC,0.8412,24.0,20.0
57,Degenerative nervous system disorders without MCC,0.6678,22.5,18.8
58,Multiple sclerosis and cerebellar ataxia with MCC,0.6431,19.4,16.2
59,Multiple sclerosis and cerebellar ataxia with CC,0.6431,19.4,16.2
60,Multiple sclerosis and cerebellar ataxia without CC/MCC,0.6431,19.4,16.2
61,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent with MCC",0.873,23.4,19.5
62,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent with CC",0.7305,20.1,16.8
63,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent without CC/MCC",0.6431,19.4,16.2
64,Intracranial hemorrhage or cerebral infarction with MCC,0.9251,24.9,20.8
65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",0.5191,16.9,14.1
66,"Intracranial hemorrhage or cerebral infarction without
CC/MCC",0.5191,16.9,14.1
67,"Nonspecific CVA and precerebral occlusion without infarction
with MCC",0.6431,19.4,16.2
68,"Nonspecific CVA and precerebral occlusion without infarction
without MCC",0.6431,19.4,16.2
69,Transient ischemia without thrombolytic,0.5191,16.9,14.1
70,Nonspecific cerebrovascular disorders with MCC,0.873,23.4,19.5
71,Nonspecific cerebrovascular disorders with CC,0.7305,20.1,16.8
72,Nonspecific cerebrovascular disorders without CC/MCC,0.6431,19.4,16.2
73,Cranial and peripheral nerve disorders with MCC,0.9235,24.8,20.7
74,Cranial and peripheral nerve disorders without MCC,0.9235,24.8,20.7
75,Viral meningitis with CC/MCC,0.6431,19.4,16.2
76,Viral meningitis without CC/MCC,0.6431,19.4,16.2
77,Hypertensive encephalopathy with MCC,0.6431,19.4,16.2
78,Hypertensive encephalopathy with CC,0.6431,19.4,16.2
79,Hypertensive encephalopathy without CC/MCC,0.6431,19.4,16.2
80,Nontraumatic stupor and coma with MCC,1.7606,36.6,30.5
81,Nontraumatic stupor and coma without MCC,0.5191,16.9,14.1
82,Traumatic stupor and coma >1 hour with MCC,1.027,28.9,24.1
83,Traumatic stupor and coma >1 hour with CC,0.7535,23.6,19.7
84,Traumatic stupor and coma >1 hour without CC/MCC,0.5191,16.9,14.1
85,Traumatic stupor and coma <1 hour with MCC,1.026,25.7,21.4
86,Traumatic stupor and coma <1 hour with CC,0.6431,19.4,16.2
87,Traumatic stupor and coma <1 hour without CC/MCC,0.6431,19.4,16.2
88,Concussion with MCC,1.7606,36.6,30.5
89,Concussion with CC,0.6431,19.4,16.2
90,Concussion without CC/MCC,0.6431,19.4,16.2
91,Other disorders of nervous system with MCC,0.8704,23.3,19.4
92,Other disorders of nervous system with CC,0.8704,23.3,19.4
93,Other disorders of nervous system without CC/MCC,0.8704,23.3,19.4
94,"Bacterial and tuberculous infections of nervous system with
MCC",1.0665,27.2,22.7
95,"Bacterial and tuberculous infections of nervous system with
CC",0.7534,20.5,17.1
96,"Bacterial and tuberculous infections of nervous system
without CC/MCC",0.5191,16.9,14.1
97,"Non-bacterial infection of nervous system except viral
meningitis with MCC",0.9602,21.9,18.3
98,"Non-bacterial infection of nervous system except viral
meningitis with CC",0.8438,23.5,19.6
99,"Non-bacterial infection of nervous system except viral
meningitis without CC/MCC",0.8438,23.5,19.6
100,Seizures with MCC,0.7234,21.5,17.9
101,Seizures without MCC,0.6431,19.4,16.2
102,Headaches with MCC,0.6431,19.4,16.2
103,Headaches without MCC,0.6431,19.4,16.2
113,Orbital procedures with CC/MCC,0.6431,19.4,16.2
114,Orbital procedures without CC/MCC,0.6431,19.4,16.2
115,Extraocular procedures except orbit,0.6431,19.4,16.2
116,Intraocular procedures with CC/MCC,0.6431,19.4,16.2
117,Intraocular procedures without CC/MCC,0.6431,19.4,16.2
121,Acute major eye infections with CC/MCC,1.0691,26.0,21.7
122,Acute major eye infections without CC/MCC,0.6431,19.4,16.2
123,Neurological eye disorders,0.6431,19.4,16.2
124,Other disorders of the eye with MCC,0.6431,19.4,16.2
125,Other disorders of the eye without MCC,0.6431,19.4,16.2
135,Sinus and mastoid procedures with CC/MCC,0.6431,19.4,16.2
136,Sinus and mastoid procedures without CC/MCC,0.6431,19.4,16.2
137,Mouth procedures with CC/MCC,0.6431,19.4,16.2
138,Mouth procedures without CC/MCC,0.6431,19.4,16.2
139,Salivary gland procedures,0.5191,16.9,14.1
140,Major head and neck procedures with MCC,0.5191,16.9,14.1
141,Major head and neck procedures with CC,0.5191,16.9,14.1
142,Major head and neck procedures without CC/MCC,0.5191,16.9,14.1
143,"Other ear, nose, mouth and throat O.R. procedures with
MCC",0.8438,23.5,19.6
144,"Other ear, nose, mouth and throat O.R. procedures with CC",0.8438,23.5,19.6
145,"Other ear, nose, mouth and throat O.R. procedures without
CC/MCC",0.8438,23.5,19.6
146,"Ear, nose, mouth and throat malignancy with MCC",0.8438,23.5,19.6
147,"Ear, nose, mouth and throat malignancy with CC",0.6431,19.4,16.2
148,"Ear, nose, mouth and throat malignancy without CC/MCC",0.5191,16.9,14.1
149,Dysequilibrium,0.5191,16.9,14.1
150,Epistaxis with MCC,0.8438,23.5,19.6
151,Epistaxis without MCC,0.8438,23.5,19.6
152,Otitis media and URI with MCC,0.8438,23.5,19.6
153,Otitis media and URI without MCC,0.6431,19.4,16.2
154,"Other ear, nose, mouth and throat diagnoses with MCC",1.7606,36.6,30.5
155,"Other ear, nose, mouth and throat diagnoses with CC",0.6431,19.4,16.2
156,"Other ear, nose, mouth and throat diagnoses without
CC/MCC",0.6431,19.4,16.2
157,Dental and oral diseases with MCC,1.0691,26.0,21.7
158,Dental and oral diseases with CC,0.8438,23.5,19.6
159,Dental and oral diseases without CC/MCC,0.6431,19.4,16.2
163,Major chest procedures with MCC,2.8678,44.9,37.4
164,Major chest procedures with CC,0.8438,23.5,19.6
165,Major chest procedures without CC/MCC,0.8438,23.5,19.6
166,Other respiratory system O.R. procedures with MCC,2.3509,40.0,33.3
167,Other respiratory system O.R. procedures with CC,1.4267,29.1,24.3
168,Other respiratory system O.R. procedures without CC/MCC,1.4267,29.1,24.3
175,Pulmonary embolism with MCC or acute cor pulmonale,0.7253,20.6,17.2
176,Pulmonary embolism without MCC,0.7253,20.6,17.2
177,Respiratory infections and inflammations with MCC,0.8259,21.6,18.0
178,Respiratory infections and inflammations with CC,0.598,18.6,15.5
179,Respiratory infections and inflammations without CC/MCC,0.598,18.6,15.5
180,Respiratory neoplasms with MCC,0.8438,23.5,19.6
181,Respiratory neoplasms with CC,0.5191,16.9,14.1
182,Respiratory neoplasms without CC/MCC,0.5191,16.9,14.1
